Loading data...

Testing with K=1...
  Accuracy: ........... rng=[0.99140, 0.99730], mean=0.99382, std_dev=0.00077
  Mean squared error: . rng=[0.00270, 0.00860], mean=0.00618, std_dev=0.00077
  Precision: .......... rng=[0.95133, 0.98413], mean=0.96915, std_dev=0.00401
  Recall: ............. rng=[0.94456, 0.99471], mean=0.96879, std_dev=0.00329
  Type 1 error rate: .. rng=[0.00178, 0.00502], mean=0.00343, std_dev=0.00046
  Type 2 error rate: .. rng=[0.00529, 0.05544], mean=0.03121, std_dev=0.00329
  F1 score: ........... rng=[0.95743, 0.98632], mean=0.96889, std_dev=0.00363
  Real time (in s): ... rng=[4.63851, 11.05848], mean=9.59385, std_dev=0.38979
  CPU time (in s): .... rng=[40.65625, 49.43750], mean=44.23281, std_dev=0.11809

Testing with K=2...
  Accuracy: ........... rng=[0.98810, 0.99530], mean=0.99258, std_dev=0.00142
  Mean squared error: . rng=[0.00265, 0.00747], mean=0.00513, std_dev=0.00074
  Precision: .......... rng=[0.91204, 0.97211], mean=0.94569, std_dev=0.01064
  Recall: ............. rng=[0.96612, 0.99824], mean=0.98232, std_dev=0.00193
  Type 1 error rate: .. rng=[0.00299, 0.01057], mean=0.00630, std_dev=0.00135
  Type 2 error rate: .. rng=[0.00176, 0.03388], mean=0.01768, std_dev=0.00193
  F1 score: ........... rng=[0.94303, 0.97600], mean=0.96352, std_dev=0.00648
  Real time (in s): ... rng=[4.86713, 11.86823], mean=7.39392, std_dev=0.79904
  CPU time (in s): .... rng=[43.76562, 54.78125], mean=50.79219, std_dev=1.13793

Testing with K=3...
  Accuracy: ........... rng=[0.99190, 0.99700], mean=0.99441, std_dev=0.00079
  Mean squared error: . rng=[0.00259, 0.00684], mean=0.00476, std_dev=0.00066
  Precision: .......... rng=[0.96032, 0.98918], mean=0.97471, std_dev=0.00455
  Recall: ............. rng=[0.93840, 0.99736], mean=0.96912, std_dev=0.00308
  Type 1 error rate: .. rng=[0.00111, 0.00445], mean=0.00283, std_dev=0.00051
  Type 2 error rate: .. rng=[0.00264, 0.06160], mean=0.03088, std_dev=0.00308
  F1 score: ........... rng=[0.95984, 0.98483], mean=0.97180, std_dev=0.00378
  Real time (in s): ... rng=[4.54780, 4.67644], mean=4.61227, std_dev=0.01633
  CPU time (in s): .... rng=[49.79688, 52.14062], mean=50.90781, std_dev=0.18331

Testing with K=4...
  Accuracy: ........... rng=[0.99000, 0.99630], mean=0.99377, std_dev=0.00119
  Mean squared error: . rng=[0.00255, 0.00670], mean=0.00469, std_dev=0.00064
  Precision: .......... rng=[0.93576, 0.98303], mean=0.96210, std_dev=0.00833
  Recall: ............. rng=[0.95175, 0.99824], mean=0.97628, std_dev=0.00284
  Type 1 error rate: .. rng=[0.00177, 0.00745], mean=0.00431, std_dev=0.00099
  Type 2 error rate: .. rng=[0.00176, 0.04825], mean=0.02372, std_dev=0.00284
  F1 score: ........... rng=[0.95127, 0.98140], mean=0.96902, std_dev=0.00562
  Real time (in s): ... rng=[4.61416, 4.80770], mean=4.73309, std_dev=0.02360
  CPU time (in s): .... rng=[51.46875, 53.78125], mean=52.43906, std_dev=0.05880

Testing with K=5...
  Accuracy: ........... rng=[0.99100, 0.99700], mean=0.99401, std_dev=0.00095
  Mean squared error: . rng=[0.00256, 0.00686], mean=0.00477, std_dev=0.00066
  Precision: .......... rng=[0.95721, 0.98912], mean=0.97429, std_dev=0.00540
  Recall: ............. rng=[0.93326, 0.99648], mean=0.96560, std_dev=0.00385
  Type 1 error rate: .. rng=[0.00111, 0.00496], mean=0.00288, std_dev=0.00060
  Type 2 error rate: .. rng=[0.00352, 0.06674], mean=0.03440, std_dev=0.00385
  F1 score: ........... rng=[0.95531, 0.98437], mean=0.96978, std_dev=0.00457
  Real time (in s): ... rng=[4.62982, 4.97039], mean=4.80317, std_dev=0.02634
  CPU time (in s): .... rng=[49.95312, 54.40625], mean=52.44375, std_dev=0.78760

Testing with K=6...
  Accuracy: ........... rng=[0.99030, 0.99630], mean=0.99380, std_dev=0.00111
  Mean squared error: . rng=[0.00253, 0.00691], mean=0.00486, std_dev=0.00065
  Precision: .......... rng=[0.94531, 0.98499], mean=0.96620, std_dev=0.00661
  Recall: ............. rng=[0.94353, 0.99736], mean=0.97236, std_dev=0.00411
  Type 1 error rate: .. rng=[0.00155, 0.00677], mean=0.00385, std_dev=0.00075
  Type 2 error rate: .. rng=[0.00264, 0.05647], mean=0.02764, std_dev=0.00411
  F1 score: ........... rng=[0.95229, 0.98082], mean=0.96912, std_dev=0.00532
  Real time (in s): ... rng=[4.50243, 4.90277], mean=4.74886, std_dev=0.00779
  CPU time (in s): .... rng=[50.59375, 54.67188], mean=52.98438, std_dev=0.17294

Testing with K=7...
  Accuracy: ........... rng=[0.99090, 0.99710], mean=0.99400, std_dev=0.00098
  Mean squared error: . rng=[0.00253, 0.00699], mean=0.00489, std_dev=0.00066
  Precision: .......... rng=[0.95682, 0.98697], mean=0.97483, std_dev=0.00501
  Recall: ............. rng=[0.93326, 0.99559], mean=0.96515, std_dev=0.00465
  Type 1 error rate: .. rng=[0.00133, 0.00575], mean=0.00284, std_dev=0.00054
  Type 2 error rate: .. rng=[0.00441, 0.06674], mean=0.03485, std_dev=0.00465
  F1 score: ........... rng=[0.95470, 0.98487], mean=0.96981, std_dev=0.00478
  Real time (in s): ... rng=[4.61299, 4.84912], mean=4.75148, std_dev=0.00562
  CPU time (in s): .... rng=[51.65625, 54.01562], mean=53.12500, std_dev=0.41505

Testing with K=8...
  Accuracy: ........... rng=[0.98980, 0.99640], mean=0.99368, std_dev=0.00123
  Mean squared error: . rng=[0.00257, 0.00715], mean=0.00499, std_dev=0.00068
  Precision: .......... rng=[0.94333, 0.98600], mean=0.96785, std_dev=0.00749
  Recall: ............. rng=[0.94045, 0.99736], mean=0.96960, std_dev=0.00449
  Type 1 error rate: .. rng=[0.00155, 0.00767], mean=0.00367, std_dev=0.00084
  Type 2 error rate: .. rng=[0.00264, 0.05955], mean=0.03040, std_dev=0.00449
  F1 score: ........... rng=[0.94975, 0.98129], mean=0.96854, std_dev=0.00594
  Real time (in s): ... rng=[4.46353, 4.96810], mean=4.81958, std_dev=0.00780
  CPU time (in s): .... rng=[50.35938, 54.51562], mean=53.24844, std_dev=0.04990

Testing with K=9...
  Accuracy: ........... rng=[0.99010, 0.99670], mean=0.99343, std_dev=0.00105
  Mean squared error: . rng=[0.00264, 0.00724], mean=0.00510, std_dev=0.00068
  Precision: .......... rng=[0.94565, 0.98904], mean=0.97301, std_dev=0.00598
  Recall: ............. rng=[0.92608, 0.99648], mean=0.96154, std_dev=0.00445
  Type 1 error rate: .. rng=[0.00111, 0.00733], mean=0.00308, std_dev=0.00065
  Type 2 error rate: .. rng=[0.00352, 0.07392], mean=0.03846, std_dev=0.00445
  F1 score: ........... rng=[0.95077, 0.98280], mean=0.96699, std_dev=0.00513
  Real time (in s): ... rng=[4.68261, 4.83972], mean=4.75042, std_dev=0.00671
  CPU time (in s): .... rng=[52.79688, 54.81250], mean=53.57344, std_dev=0.08548

Testing with K=10...
  Accuracy: ........... rng=[0.98980, 0.99620], mean=0.99350, std_dev=0.00117
  Mean squared error: . rng=[0.00268, 0.00733], mean=0.00516, std_dev=0.00069
  Precision: .......... rng=[0.94407, 0.98486], mean=0.96907, std_dev=0.00760
  Recall: ............. rng=[0.93532, 0.99648], mean=0.96645, std_dev=0.00381
  Type 1 error rate: .. rng=[0.00155, 0.00756], mean=0.00353, std_dev=0.00085
  Type 2 error rate: .. rng=[0.00352, 0.06468], mean=0.03355, std_dev=0.00381
  F1 score: ........... rng=[0.94970, 0.98027], mean=0.96756, std_dev=0.00565
  Real time (in s): ... rng=[4.49281, 5.02942], mean=4.74691, std_dev=0.08934
