K,L,Accuracy,Mean-squared error,Precision,Recall,Type 1 error rate,Type 2 error rate,F1 score,Real time (s),CPU time (s)
1,0,0.9973,0.0027,0.9798590130916415,0.9928571428571429,0.0022172949002217295,0.0071428571428571175,0.9863152559553979,6.0057043000124395,49.4375
1,1,0.9956,0.0044,0.9674378748928878,0.9947136563876652,0.004286520022560632,0.005286343612334821,0.9808861859252824,4.638514199992642,47.6875
1,2,0.9944,0.0056,0.9841269841269841,0.9612403100775194,0.001784121320249777,0.03875968992248058,0.9725490196078431,9.876904700184241,40.65625
1,3,0.9921,0.0079,0.9613478691774033,0.9603960396039604,0.0043381535038932145,0.03960396039603964,0.9608717186726101,10.568330200156197,42.765625
1,4,0.9935,0.0065,0.972193614830072,0.9613034623217923,0.0029940119760479044,0.03869653767820769,0.9667178699436763,10.59689599997364,42.875
1,5,0.9924,0.0076,0.9513274336283186,0.9641255605381166,0.004830917874396135,0.0358744394618834,0.957683741648107,10.844045399921015,44.15625
1,6,0.9968,0.0032,0.9812889812889813,0.9853862212943633,0.0019907100199071004,0.014613778705636737,0.9833333333333333,11.058482700027525,43.953125
1,7,0.9919,0.0081,0.9566055930568949,0.9649805447470817,0.005015604101649577,0.035019455252918275,0.960774818401937,10.685912899905816,43.015625
1,8,0.9928,0.0072,0.9808102345415778,0.944558521560575,0.0019942388654996678,0.05544147843942504,0.9623430962343097,10.837242899928242,43.921875
1,9,0.9914,0.0086,0.9564787339268052,0.958374628344896,0.004893782671560449,0.04162537165510405,0.9574257425742575,10.826458999887109,43.859375
2,0,0.9952,0.00265,0.9568627450980393,0.9959183673469387,0.004878048780487805,0.004081632653061273,0.9759999999999999,10.987338399980217,43.765625
2,1,0.9937,0.003575,0.9489112227805695,0.9982378854625551,0.006880992667794698,0.0017621145374449032,0.9729497638471446,11.868226600112393,45.875
2,2,0.9943,0.0047,0.9692011549566891,0.9757751937984496,0.003568242640499554,0.02422480620155043,0.9724770642201835,6.527749100001529,51.6875
2,3,0.9903,0.006425,0.929444967074318,0.9782178217821782,0.008342602892102336,0.0217821782178218,0.9532079112397491,4.931974299950525,54.53125
2,4,0.9937,0.0051,0.9563058589870904,0.9806517311608961,0.004879130627633622,0.0193482688391039,0.9683257918552036,4.9296703999862075,54.28125
2,5,0.9902,0.006,0.9144050104384134,0.9820627802690582,0.009003074220465524,0.017937219730941756,0.947027027027027,7.7597994999960065,51.453125
2,6,0.9953,0.00275,0.9633774160732451,0.988517745302714,0.003981420039814201,0.011482254697286032,0.9757856774858319,11.167970099952072,45.21875
2,7,0.991,0.006525,0.9342592592592592,0.9815175097276264,0.007913508693713777,0.018482490272373586,0.9573055028462998,6.009214799851179,51.9375
2,8,0.994,0.0061,0.9721074380165289,0.9661190965092402,0.0029913582982495014,0.033880903490759784,0.9691040164778577,4.890132199972868,54.78125
2,9,0.9881,0.007475,0.9120370370370371,0.9762140733399405,0.010566121677232788,0.02378592666005952,0.9430349449497366,4.8671344998292625,54.390625
3,0,0.997,0.002688888888888889,0.9759519038076152,0.9938775510204082,0.0026607538802660754,0.006122448979591799,0.9848331648129423,4.655178700108081,50.96875
3,1,0.9959,0.003622222222222222,0.9675213675213675,0.9973568281938326,0.004286520022560632,0.002643171806167355,0.9822125813449024,4.642555800033733,51.25
3,2,0.9946,0.0044888888888888895,0.9851190476190477,0.9622093023255814,0.001672613737734166,0.03779069767441856,0.973529411764706,4.658862299984321,51.53125
3,3,0.9937,0.005788888888888889,0.973026973026973,0.9643564356435643,0.003003337041156841,0.035643564356435675,0.9686723023371456,4.567999399965629,50.03125
3,4,0.9945,0.004422222222222223,0.9793174767321613,0.9643584521384929,0.0022177866489243737,0.035641547861507084,0.9717804002052335,4.54779989994131,49.796875
3,5,0.9938,0.005311111111111111,0.9683972911963883,0.9618834080717489,0.0030742204655248135,0.03811659192825112,0.9651293588301463,4.5905408000107855,51.609375
3,6,0.997,0.0025888888888888893,0.9833333333333333,0.9853862212943633,0.0017695200176952002,0.014613778705636737,0.9843587069864442,4.6318498000036925,50.9375
3,7,0.9927,0.0061555555555555565,0.9649464459591042,0.9640077821011673,0.004012483281319661,0.03599221789883267,0.9644768856447687,4.590875599998981,50.484375
3,8,0.993,0.00568888888888889,0.9891774891774892,0.9383983572895277,0.0011079104808331486,0.061601642710472304,0.9631190727081138,4.676438900176436,52.140625
3,9,0.9919,0.0068444444444444455,0.9603174603174603,0.9593657086223984,0.0044488933377822264,0.04063429137760155,0.9598413485374319,4.560648099984974,50.328125
4,0,0.9963,0.00270625,0.9672943508424182,0.9959183673469387,0.003658536585365854,0.004081632653061273,0.9813976872800403,4.785987300099805,51.53125
4,1,0.9945,0.003575,0.9553119730185498,0.9982378854625551,0.005978567399887197,0.0017621145374449032,0.976303317535545,4.61415720009245,51.640625
4,2,0.9945,0.0044625,0.9803343166175025,0.9660852713178295,0.0022301516503122213,0.03391472868217049,0.9731576378721327,4.732893799897283,53.78125
4,3,0.9931,0.00533125,0.9599217986314761,0.9722772277227723,0.004560622914349277,0.027722772277227747,0.9660600098376783,4.742316100047901,51.46875
4,4,0.9945,0.00459375,0.9686552072800809,0.9755600814663951,0.003437569305832779,0.024439918533604943,0.9720953830542872,4.738440599991009,53.765625
4,5,0.9933,0.0048375,0.9508196721311475,0.9753363228699552,0.004940711462450593,0.024663677130044803,0.9629219701162146,4.7517283000051975,52.65625
4,6,0.996,0.00255,0.9702868852459017,0.988517745302714,0.0032072550320725503,0.011482254697286032,0.9793174767321613,4.760569799924269,52.953125
4,7,0.9918,0.0064375,0.9496197718631179,0.9717898832684825,0.005907267053053946,0.02821011673151752,0.9605769230769232,4.699177499860525,52.421875
4,8,0.9937,0.00571875,0.9830328738069989,0.9517453798767967,0.0017726567693330379,0.04825462012320325,0.9671361502347418,4.697902999818325,51.546875
4,9,0.99,0.0067,0.9357622243528284,0.9672943508424182,0.007451896340785229,0.032705649157581784,0.9512670565302145,4.807704900158569,52.625
5,0,0.9965,0.0027120000000000004,0.972027972027972,0.9928571428571429,0.0031042128603104213,0.0071428571428571175,0.9823321554770317,4.77939509996213,52.46875
5,1,0.9952,0.0038760000000000005,0.9625531914893617,0.9964757709251101,0.0049633389734912575,0.0035242290748899174,0.9792207792207792,4.826486600097269,54.03125
5,2,0.9941,0.004576,0.986013986013986,0.9563953488372093,0.0015611061552185548,0.043604651162790664,0.9709788489916381,4.780973199987784,52.59375
5,3,0.9936,0.005388,0.9748995983935743,0.9613861386138614,0.0027808676307007787,0.03861386138613865,0.9680957128614157,4.629823500057682,51.71875
5,4,0.9941,0.004628,0.9802289281997919,0.9592668024439919,0.002106897316478155,0.04073319755600813,0.9696345856922285,4.794360100058839,52.625
5,5,0.9939,0.004696,0.9737742303306728,0.9573991031390134,0.0025252525252525255,0.04260089686098656,0.9655172413793103,4.725972300162539,52.65625
5,6,0.997,0.00256,0.9823284823284824,0.9864300626304802,0.0018801150188011502,0.013569937369519836,0.9843749999999999,4.868791199987754,53.640625
5,7,0.9922,0.006448000000000001,0.9647749510763209,0.9591439688715954,0.004012483281319661,0.040856031128404635,0.9619512195121951,4.935599699849263,54.40625
5,8,0.9925,0.005932000000000001,0.9891186071817193,0.9332648870636551,0.0011079104808331486,0.06673511293634493,0.9603803486529319,4.970390600152314,50.34375
5,9,0.991,0.006856,0.9572139303482587,0.9534192269573836,0.004782560338115894,0.04658077304261643,0.9553128103277061,4.719861300196499,49.953125
6,0,0.996,0.0027833333333333334,0.9653465346534653,0.9948979591836735,0.003880266075388027,0.005102040816326481,0.9798994974874372,4.887450699927285,54.203125
6,1,0.9937,0.004069444444444444,0.9496644295302014,0.9973568281938326,0.00676818950930626,0.002643171806167355,0.9729265148259563,4.8591803999152035,53.9375
6,2,0.9943,0.004802777777777777,0.9841112214498511,0.9602713178294574,0.001784121320249777,0.039728682170542595,0.9720451201569398,4.77720190002583,52.890625
6,3,0.9935,0.005394444444444444,0.9673590504451038,0.9683168316831683,0.0036707452725250277,0.03168316831683171,0.9678377041068777,4.649182400200516,52.46875
6,4,0.9947,0.0045472222222222225,0.9734964322120285,0.9725050916496945,0.0028831226436016855,0.027494908350305547,0.9730005094243505,4.796111400006339,53.3125
6,5,0.9943,0.004713888888888889,0.96440489432703,0.9719730941704036,0.003513394817742644,0.028026905829596438,0.9681742043551089,4.902773899957538,54.671875
6,6,0.9963,0.0025277777777777777,0.9742533470648815,0.9874739039665971,0.0027648750276487504,0.012526096033402934,0.9808190772420944,4.6033154998440295,51.9375
6,7,0.9918,0.006580555555555556,0.9530651340996169,0.9678988326848249,0.005461435577351761,0.032101167315175094,0.9604247104247104,4.502426499966532,50.59375
6,8,0.9931,0.00623888888888889,0.984994640943194,0.9435318275154004,0.0015510746731664082,0.056468172484599566,0.9638175144205559,4.786751199979335,53.390625
6,9,0.9903,0.006908333333333334,0.9453125,0.9593657086223984,0.006228450672895117,0.04063429137760155,0.9522872602065913,4.724230899941176,52.4375
7,0,0.9965,0.002787755102040816,0.972027972027972,0.9928571428571429,0.0031042128603104213,0.0071428571428571175,0.9823321554770317,4.699258900014684,52.5625
7,1,0.9944,0.004212244897959184,0.9568162574089755,0.9955947136563876,0.005752961082910322,0.004405286343612369,0.9758203799654577,4.613025599857792,53.953125
7,2,0.994,0.004908163265306122,0.9869739478957916,0.9544573643410853,0.0014495985727029437,0.0455426356589147,0.9704433497536946,4.843960099853575,53.59375
7,3,0.9941,0.005248979591836735,0.9798183652875883,0.9613861386138614,0.002224694104560623,0.03861386138613865,0.9705147426286856,4.811562000075355,52.890625
7,4,0.9942,0.004677551020408163,0.9822546972860126,0.9582484725050916,0.0018851186515857175,0.0417515274949084,0.9701030927835051,4.61298880004324,51.65625
7,5,0.9945,0.004665306122448979,0.9771949828962372,0.9607623318385651,0.0021958717610891525,0.039237668161434924,0.9689089881288865,4.8491211999207735,53.921875
7,6,0.9971,0.002526530612244898,0.9843587069864442,0.9853862212943633,0.0016589250165892503,0.014613778705636737,0.9848721961398017,4.686536099994555,53.296875
7,7,0.992,0.006651020408163265,0.962890625,0.9591439688715954,0.0042353990191707535,0.040856031128404635,0.9610136452241715,4.78759659989737,54.015625
7,8,0.9923,0.0062448979591836744,0.9869706840390879,0.9332648870636551,0.0013294925769997785,0.06673511293634493,0.9593667546174143,4.841506200144067,53.546875
7,9,0.9909,0.006987755102040816,0.959,0.9504459861248761,0.0045601156712267825,0.049554013875123926,0.9547038327526132,4.7692491998896,51.8125
8,0,0.996,0.0029125,0.967196819085487,0.9928571428571429,0.003658536585365854,0.0071428571428571175,0.9798590130916415,4.463527000043541,50.359375
8,1,0.9929,0.004453125,0.9433333333333334,0.9973568281938326,0.007670614777213762,0.002643171806167355,0.9695931477516061,4.92099819984287,54.390625
8,2,0.994,0.00505,0.986,0.9554263565891473,0.0015611061552185548,0.04457364341085268,0.9704724409448819,4.852082500001416,52.375
8,3,0.9939,0.00529375,0.972139303482587,0.9673267326732673,0.003114571746384872,0.0326732673267327,0.969727047146402,4.798059900058433,53.671875
8,4,0.9944,0.004753125,0.9783057851239669,0.9643584521384929,0.002328675981370592,0.035641547861507084,0.9712820512820513,4.795057800132781,53.171875
8,5,0.9949,0.00456875,0.967741935483871,0.9753363228699552,0.003184014053579271,0.024663677130044803,0.9715242881072027,4.968101799953729,53.90625
8,6,0.9964,0.00256875,0.9772256728778468,0.9853862212943633,0.0024330900243309003,0.014613778705636737,0.9812889812889813,4.82967139990069,53.265625
8,7,0.9917,0.006753125,0.957405614714424,0.9620622568093385,0.00490414623272403,0.037937743190661455,0.9597282872392043,4.922313600080088,54.515625
8,8,0.9928,0.0063625,0.9849462365591398,0.9404517453798767,0.0015510746731664082,0.05954825462012325,0.9621848739495799,4.801727300044149,53.421875
8,9,0.9898,0.00715,0.9441723800195886,0.9554013875123885,0.006339673006339673,0.044598612487611544,0.9497536945812808,4.844247299944982,53.40625
9,0,0.9959,0.0029876543209876546,0.9690309690309691,0.9897959183673469,0.003436807095343681,0.010204081632653073,0.9793033821302373,4.6947317000012845,53.25
9,1,0.9931,0.004625925925925925,0.9456521739130435,0.9964757709251101,0.007332205301748449,0.0035242290748899174,0.9703989703989704,4.814716499997303,53.59375
9,2,0.9931,0.005279012345679013,0.9878419452887538,0.9447674418604651,0.0013380909901873326,0.05523255813953487,0.9658246656760773,4.839722200063989,53.140625
9,3,0.994,0.005460493827160494,0.9788306451612904,0.9613861386138614,0.0023359288097886542,0.03861386138613865,0.9700299700299699,4.773530999897048,53.3125
9,4,0.993,0.004766666666666667,0.9820295983086681,0.9460285132382892,0.0018851186515857175,0.05397148676171082,0.9636929460580913,4.8033310999162495,54.8125
9,5,0.9948,0.00475925925925926,0.9794520547945206,0.9618834080717489,0.001976284584980237,0.03811659192825112,0.9705882352941178,4.682606599992141,54.03125
9,6,0.9967,0.0026370370370370376,0.9812695109261186,0.9843423799582464,0.0019907100199071004,0.01565762004175364,0.982803543512246,4.707498499890789,53.421875
9,7,0.9918,0.006816049382716051,0.9628180039138943,0.9571984435797666,0.0042353990191707535,0.04280155642023342,0.96,4.6923577999696136,52.796875
9,8,0.9918,0.006401234567901235,0.9890350877192983,0.9260780287474333,0.0011079104808331486,0.07392197125256672,0.9565217391304347,4.724096399964765,53.53125
9,9,0.9901,0.007241975308641974,0.9540918163672655,0.9474727452923687,0.005116227338449561,0.05252725470763131,0.9507707608155147,4.771640900056809,53.84375
10,0,0.9959,0.003001,0.9671641791044776,0.9918367346938776,0.003658536585365854,0.008163265306122436,0.9793450881612089,4.676364100072533,52.671875
10,1,0.9929,0.00474,0.9440734557595993,0.9964757709251101,0.007557811618725325,0.0035242290748899174,0.9695670810115731,4.645650800084695,52.703125
10,2,0.9934,0.005379000000000001,0.9839679358717435,0.9515503875968992,0.001784121320249777,0.04844961240310075,0.9674876847290641,4.760954200057313,53.984375
10,3,0.9941,0.005499,0.975024975024975,0.9663366336633663,0.0027808676307007787,0.03366336633663369,0.9706613625062158,4.845914699835703,55.5625
10,4,0.9936,0.004825,0.9801255230125523,0.9541751527494908,0.002106897316478155,0.04582484725050917,0.9669762641898866,4.679515399970114,53.15625
10,5,0.9952,0.004792,0.9752252252252253,0.9708520179372198,0.0024154589371980675,0.029147982062780242,0.9730337078651685,4.734618700109422,53.8125
10,6,0.9962,0.002684,0.9752066115702479,0.9853862212943633,0.0026542800265428003,0.014613778705636737,0.9802699896157839,4.851593500003219,55.109375
10,7,0.9916,0.006843000000000001,0.9600389863547758,0.958171206225681,0.004569772625947392,0.04182879377431903,0.9591041869522883,4.752256100066006,52.65625
10,8,0.9923,0.006478,0.9848648648648649,0.9353182751540041,0.0015510746731664082,0.06468172484599588,0.9594523433385993,4.492808599956334,49.609375
10,9,0.9898,0.0073290000000000004,0.9450441609421001,0.9544103072348861,0.006228450672895117,0.04558969276511393,0.9497041420118344,5.029422000050545,53.078125
11,0,0.9961,0.0030743801652892556,0.970970970970971,0.9897959183673469,0.003215077605321508,0.010204081632653073,0.9802930773117736,4.731477699941024,52.046875
11,1,0.993,0.004824793388429751,0.9456066945606695,0.9955947136563876,0.007332205301748449,0.004405286343612369,0.9699570815450644,4.6984935000073165,51.828125
11,2,0.9928,0.005471074380165289,0.986815415821501,0.9428294573643411,0.0014495985727029437,0.057170542635658905,0.9643211100099108,4.911307699978352,54.3125
