K,L,Accuracy,Mean-squared error,Precision,Recall,Type 1 error rate,Type 2 error rate,F1 score,Real time (s),CPU time (s)
1,0,0.9973,0.0027,0.9798590130916415,0.9928571428571429,0.0022172949002217295,0.0071428571428571175,0.9863152559553979,4.108326399931684,35.296875
1,1,0.9956,0.0044,0.9674378748928878,0.9947136563876652,0.004286520022560632,0.005286343612334821,0.9808861859252824,3.1961058999877423,39.203125
1,2,0.9944,0.0056,0.9841269841269841,0.9612403100775194,0.001784121320249777,0.03875968992248058,0.9725490196078431,3.028669700026512,39.46875
1,3,0.9921,0.0079,0.9613478691774033,0.9603960396039604,0.0043381535038932145,0.03960396039603964,0.9608717186726101,3.0082240998744965,37.875
1,4,0.9935,0.0065,0.972193614830072,0.9613034623217923,0.0029940119760479044,0.03869653767820769,0.9667178699436763,3.018990800017491,37.96875
1,5,0.9924,0.0076,0.9513274336283186,0.9641255605381166,0.004830917874396135,0.0358744394618834,0.957683741648107,3.0022296998649836,37.21875
1,6,0.9968,0.0032,0.9812889812889813,0.9853862212943633,0.0019907100199071004,0.014613778705636737,0.9833333333333333,2.956696999957785,38.609375
1,7,0.9919,0.0081,0.9566055930568949,0.9649805447470817,0.005015604101649577,0.035019455252918275,0.960774818401937,2.942155000055209,37.15625
1,8,0.9928,0.0072,0.9808102345415778,0.944558521560575,0.0019942388654996678,0.05544147843942504,0.9623430962343097,2.929679600056261,37.828125
1,9,0.9914,0.0086,0.9564787339268052,0.958374628344896,0.004893782671560449,0.04162537165510405,0.9574257425742575,2.942489800043404,38.359375
2,0,0.9952,0.00265,0.9568627450980393,0.9959183673469387,0.004878048780487805,0.004081632653061273,0.9759999999999999,2.946193399839103,37.078125
2,1,0.9937,0.003575,0.9489112227805695,0.9982378854625551,0.006880992667794698,0.0017621145374449032,0.9729497638471446,3.0166954998858273,38.4375
2,2,0.9943,0.0047,0.9692011549566891,0.9757751937984496,0.003568242640499554,0.02422480620155043,0.9724770642201835,3.038052099989727,38.125
2,3,0.9903,0.006425,0.929444967074318,0.9782178217821782,0.008342602892102336,0.0217821782178218,0.9532079112397491,3.0113162000197917,36.96875
2,4,0.9937,0.0051,0.9563058589870904,0.9806517311608961,0.004879130627633622,0.0193482688391039,0.9683257918552036,2.989205199992284,36.71875
2,5,0.9902,0.006,0.9144050104384134,0.9820627802690582,0.009003074220465524,0.017937219730941756,0.947027027027027,3.040523499948904,35.546875
2,6,0.9953,0.00275,0.9633774160732451,0.988517745302714,0.003981420039814201,0.011482254697286032,0.9757856774858319,3.0336282001808286,35.265625
