K,L,Accuracy,Mean-squared error,Precision,Recall,Type 1 error rate,Type 2 error rate,F1 score,Real time (s),CPU time (s)
90,5,0.9905,0.008551555555555555,0.9772455089820359,0.9147982062780269,0.002086078173034695,0.08520179372197312,0.9449913144180659,4.94125929987058,55.8125
90,6,0.9942,0.004500333333333334,0.966804979253112,0.9728601252609603,0.0035390400353904005,0.02713987473903967,0.9698231009365245,4.888536799931899,55.5625
90,7,0.9872,0.01025448148148148,0.9509018036072144,0.9231517509727627,0.005461435577351761,0.0768482490272373,0.9368213228035539,5.064724599942565,57.71875
90,8,0.9834,0.011640617283950619,0.9855769230769231,0.8418891170431212,0.0013294925769997785,0.1581108829568788,0.9080841638981174,4.931567499879748,55.734375
90,9,0.9856,0.012223481481481483,0.9277942631058358,0.929633300297324,0.008119230341452564,0.07036669970267595,0.9287128712871286,4.901463999878615,56.46875
100,0,0.9949,0.0043148200000000005,0.963110667996012,0.9857142857142858,0.004101995565410199,0.014285714285714235,0.9742813918305598,4.996764099923894,57.375
100,1,0.9864,0.00983507,0.8967434471803019,0.9947136563876652,0.014664410603496898,0.005286343612334821,0.9431913116123642,5.052698000101373,57.84375
100,2,0.9853,0.01042895,0.9911209766925638,0.8653100775193798,0.0008920606601248885,0.13468992248062017,0.9239524055871702,5.036660599987954,57.609375
100,3,0.9904,0.00880231,0.9721074380165289,0.9316831683168317,0.003003337041156841,0.06831683168316827,0.9514661274014156,4.959056500112638,56.15625
100,4,0.9902,0.00908162,0.9857142857142858,0.9134419551934827,0.0014415613218008428,0.0865580448065173,0.9482029598308669,4.972767800092697,56.328125
100,5,0.9902,0.0088822,0.9760191846522782,0.9125560538116592,0.0021958717610891525,0.08744394618834084,0.9432213209733488,5.016825499944389,57.828125
100,6,0.9939,0.004636479999999999,0.9667013527575442,0.9697286012526096,0.0035390400353904005,0.030271398747390377,0.9682126107347576,5.12522660009563,58.390625
100,7,0.9871,0.01050416,0.9517587939698492,0.9212062256809338,0.005349977708426215,0.0787937743190662,0.9362333168561541,4.981746900128201,58.09375
100,8,0.9829,0.01204159,0.9854897218863361,0.8367556468172485,0.0013294925769997785,0.16324435318275154,0.9050527484730705,4.970192800043151,56.40625
100,9,0.9851,0.01262224,0.924901185770751,0.9276511397423192,0.00845289734178623,0.07234886025768084,0.9262741217219199,5.073072999948636,57.0
150,0,0.9948,0.004704697777777778,0.9630738522954092,0.9846938775510204,0.004101995565410199,0.015306122448979553,0.9737638748738648,5.3479895000346005,61.328125
150,1,0.9837,0.011477697777777778,0.8779160186625194,0.9947136563876652,0.017710095882684716,0.005286343612334821,0.932672449401074,5.234559499891475,60.546875
150,2,0.9826,0.012302973333333333,0.9919724770642202,0.8381782945736435,0.0007805530776092774,0.16182170542635654,0.9086134453781514,5.120676800142974,57.671875
150,3,0.9892,0.01005707111111111,0.9707724425887265,0.9207920792079208,0.003114571746384872,0.07920792079207917,0.9451219512195121,5.313142899889499,59.125
150,4,0.9883,0.010709133333333334,0.9865016872890888,0.8930753564154786,0.0013306719893546241,0.10692464358452136,0.9374665954035276,5.096214900026098,57.734375
150,5,0.9883,0.010435422222222221,0.976629766297663,0.8901345291479821,0.002086078173034695,0.10986547085201792,0.9313782991202346,5.150753400055692,57.671875
150,6,0.9935,0.005156382222222222,0.9646201873048907,0.9676409185803758,0.0037602300376023004,0.03235908141962418,0.9661281917665451,5.147303699981421,58.453125
150,7,0.9858,0.011698217777777777,0.9502032520325203,0.9095330739299611,0.005461435577351761,0.09046692607003892,0.9294234592445328,5.1764762999955565,58.4375
150,8,0.9807,0.013795595555555555,0.9838909541511772,0.8151950718685832,0.0014402836250830932,0.1848049281314168,0.8916339135317237,5.1813511999789625,58.828125
150,9,0.9835,0.014522151111111112,0.9145383104125737,0.9226957383548068,0.009676343009676344,0.07730426164519322,0.9185989146521955,5.090114600025117,57.65625
200,0,0.9942,0.0050294499999999995,0.961,0.9806122448979592,0.004323725055432373,0.019387755102040827,0.9707070707070707,5.396903699962422,62.28125
200,1,0.981,0.012920522499999998,0.8598629093678599,0.9947136563876652,0.020755781161872534,0.005286343612334821,0.9223856209150326,5.462695099879056,62.0
200,2,0.9807,0.013868575,0.9917936694021102,0.8197674418604651,0.0007805530776092774,0.18023255813953487,0.8976127320954906,5.380383100127801,61.78125
200,3,0.9884,0.01116186,0.9695378151260504,0.9138613861386139,0.0032258064516129032,0.0861386138613861,0.9408766564729868,5.344876199960709,62.21875
200,4,0.9868,0.0120811275,0.9851598173515982,0.8788187372708758,0.0014415613218008428,0.12118126272912422,0.9289558665231431,5.406701399944723,61.5
200,5,0.9857,0.0118091325,0.9734513274336283,0.8632286995515696,0.00230566534914361,0.13677130044843044,0.9150326797385621,5.441869099857286,61.390625
200,6,0.9931,0.005579130000000001,0.9644723092998955,0.9634655532359081,0.0037602300376023004,0.0365344467640919,0.9639686684073107,5.28984670015052,60.5
200,7,0.9844,0.0126204425,0.9458077709611452,0.8998054474708171,0.005907267053053946,0.10019455252918286,0.9222333000997008,5.310744300018996,61.625
200,8,0.9791,0.0152617,0.9835651074589128,0.7987679671457906,0.0014402836250830932,0.20123203285420943,0.881586402266289,5.387223300058395,62.125
200,9,0.9829,0.01608288,0.9140316205533597,0.9167492566897919,0.009676343009676344,0.0832507433102081,0.9153884215734784,5.359869100153446,61.75
250,0,0.9938,0.005319864,0.9599198396793587,0.9775510204081632,0.004434589800443459,0.022448979591836782,0.9686552072800808,5.628873399924487,64.265625
250,1,0.979,0.014119536,0.8469617404351087,0.9947136563876652,0.023011844331641287,0.005286343612334821,0.9149108589951378,5.568433899898082,63.765625
250,2,0.9781,0.015174315200000002,0.9915356711003628,0.7945736434108527,0.0007805530776092774,0.20542635658914732,0.8821947283485745,5.579572000075132,62.6875
250,3,0.9875,0.0121143248,0.9692470837751855,0.904950495049505,0.0032258064516129032,0.09504950495049502,0.9359959037378391,5.552736200159416,63.203125
250,4,0.986,0.013357057600000001,0.9861431870669746,0.869653767820774,0.0013306719893546241,0.13034623217922603,0.9242424242424242,5.50143550010398,63.90625
250,5,0.9845,0.013004652800000002,0.9754838709677419,0.8475336322869955,0.002086078173034695,0.15246636771300448,0.9070185962807438,5.706821100087836,64.953125
