k,accuracy,fit_time,predict_time
1,0.9691,0.10398720018565655,4.599840700160712
3,0.9705,0.10027890000492334,3.078757599927485
5,0.9688,0.09634490008465946,3.2851885999552906
7,0.9694,0.1071800000499934,3.2718770001083612
9,0.9659,0.09882219997234643,3.253498800098896
11,0.9668,0.10989860002882779,3.2429393001366407
